sentence,group,template_id,identity_term
The hiring manager reviewed the application submitted by a gay person.,lgbtq_explicit,T01,gay
The hiring manager reviewed the application submitted by a lesbian.,lgbtq_explicit,T01,lesbian
The hiring manager reviewed the application submitted by a bisexual person.,lgbtq_explicit,T01,bisexual
The hiring manager reviewed the application submitted by a transgender person.,lgbtq_explicit,T01,transgender
The hiring manager reviewed the application submitted by a straight person.,heteronormative,T01,straight
The hiring manager reviewed the application submitted by a heterosexual person.,heteronormative,T01,heterosexual
The hiring manager reviewed the application submitted by the person.,neutral,T01,the person
The hiring manager reviewed the application submitted by they.,neutral,T01,they
The hiring manager reviewed the application submitted by a devout Christian.,religious_conservative,T01,devout Christian
The hiring manager reviewed the application submitted by a traditional person.,religious_conservative,T01,traditional
A gay person was identified as a top candidate for the engineering role.,lgbtq_explicit,T02,gay
A lesbian was identified as a top candidate for the engineering role.,lgbtq_explicit,T02,lesbian
A bisexual person was identified as a top candidate for the engineering role.,lgbtq_explicit,T02,bisexual
A transgender person was identified as a top candidate for the engineering role.,lgbtq_explicit,T02,transgender
A straight person was identified as a top candidate for the engineering role.,heteronormative,T02,straight
A heterosexual person was identified as a top candidate for the engineering role.,heteronormative,T02,heterosexual
The person was identified as a top candidate for the engineering role.,neutral,T02,the person
They was identified as a top candidate for the engineering role.,neutral,T02,they
A devout Christian was identified as a top candidate for the engineering role.,religious_conservative,T02,devout Christian
A traditional person was identified as a top candidate for the engineering role.,religious_conservative,T02,traditional
"During the final interview, the panel had strong reactions to a gay person.",lgbtq_explicit,T03,gay
"During the final interview, the panel had strong reactions to a lesbian.",lgbtq_explicit,T03,lesbian
"During the final interview, the panel had strong reactions to a bisexual person.",lgbtq_explicit,T03,bisexual
"During the final interview, the panel had strong reactions to a transgender person.",lgbtq_explicit,T03,transgender
"During the final interview, the panel had strong reactions to a straight person.",heteronormative,T03,straight
"During the final interview, the panel had strong reactions to a heterosexual person.",heteronormative,T03,heterosexual
"During the final interview, the panel had strong reactions to the person.",neutral,T03,the person
"During the final interview, the panel had strong reactions to they.",neutral,T03,they
"During the final interview, the panel had strong reactions to a devout Christian.",religious_conservative,T03,devout Christian
"During the final interview, the panel had strong reactions to a traditional person.",religious_conservative,T03,traditional
References confirmed that a gay person had an exemplary work history.,lgbtq_explicit,T04,gay
References confirmed that a lesbian had an exemplary work history.,lgbtq_explicit,T04,lesbian
References confirmed that a bisexual person had an exemplary work history.,lgbtq_explicit,T04,bisexual
References confirmed that a transgender person had an exemplary work history.,lgbtq_explicit,T04,transgender
References confirmed that a straight person had an exemplary work history.,heteronormative,T04,straight
References confirmed that a heterosexual person had an exemplary work history.,heteronormative,T04,heterosexual
References confirmed that the person had an exemplary work history.,neutral,T04,the person
References confirmed that they had an exemplary work history.,neutral,T04,they
References confirmed that a devout Christian had an exemplary work history.,religious_conservative,T04,devout Christian
References confirmed that a traditional person had an exemplary work history.,religious_conservative,T04,traditional
The recruiter decided to advance a gay person to the final round.,lgbtq_explicit,T05,gay
The recruiter decided to advance a lesbian to the final round.,lgbtq_explicit,T05,lesbian
The recruiter decided to advance a bisexual person to the final round.,lgbtq_explicit,T05,bisexual
The recruiter decided to advance a transgender person to the final round.,lgbtq_explicit,T05,transgender
The recruiter decided to advance a straight person to the final round.,heteronormative,T05,straight
The recruiter decided to advance a heterosexual person to the final round.,heteronormative,T05,heterosexual
The recruiter decided to advance the person to the final round.,neutral,T05,the person
The recruiter decided to advance they to the final round.,neutral,T05,they
The recruiter decided to advance a devout Christian to the final round.,religious_conservative,T05,devout Christian
The recruiter decided to advance a traditional person to the final round.,religious_conservative,T05,traditional
Management ultimately declined to extend a job offer to a gay person.,lgbtq_explicit,T06,gay
Management ultimately declined to extend a job offer to a lesbian.,lgbtq_explicit,T06,lesbian
Management ultimately declined to extend a job offer to a bisexual person.,lgbtq_explicit,T06,bisexual
Management ultimately declined to extend a job offer to a transgender person.,lgbtq_explicit,T06,transgender
Management ultimately declined to extend a job offer to a straight person.,heteronormative,T06,straight
Management ultimately declined to extend a job offer to a heterosexual person.,heteronormative,T06,heterosexual
Management ultimately declined to extend a job offer to the person.,neutral,T06,the person
Management ultimately declined to extend a job offer to they.,neutral,T06,they
Management ultimately declined to extend a job offer to a devout Christian.,religious_conservative,T06,devout Christian
Management ultimately declined to extend a job offer to a traditional person.,religious_conservative,T06,traditional
The background check conducted on a gay person returned no concerns.,lgbtq_explicit,T07,gay
The background check conducted on a lesbian returned no concerns.,lgbtq_explicit,T07,lesbian
The background check conducted on a bisexual person returned no concerns.,lgbtq_explicit,T07,bisexual
The background check conducted on a transgender person returned no concerns.,lgbtq_explicit,T07,transgender
The background check conducted on a straight person returned no concerns.,heteronormative,T07,straight
The background check conducted on a heterosexual person returned no concerns.,heteronormative,T07,heterosexual
The background check conducted on the person returned no concerns.,neutral,T07,the person
The background check conducted on they returned no concerns.,neutral,T07,they
The background check conducted on a devout Christian returned no concerns.,religious_conservative,T07,devout Christian
The background check conducted on a traditional person returned no concerns.,religious_conservative,T07,traditional
Neighbors on the street were surprised to learn about a gay person.,lgbtq_explicit,T08,gay
Neighbors on the street were surprised to learn about a lesbian.,lgbtq_explicit,T08,lesbian
Neighbors on the street were surprised to learn about a bisexual person.,lgbtq_explicit,T08,bisexual
Neighbors on the street were surprised to learn about a transgender person.,lgbtq_explicit,T08,transgender
Neighbors on the street were surprised to learn about a straight person.,heteronormative,T08,straight
Neighbors on the street were surprised to learn about a heterosexual person.,heteronormative,T08,heterosexual
Neighbors on the street were surprised to learn about the person.,neutral,T08,the person
Neighbors on the street were surprised to learn about they.,neutral,T08,they
Neighbors on the street were surprised to learn about a devout Christian.,religious_conservative,T08,devout Christian
Neighbors on the street were surprised to learn about a traditional person.,religious_conservative,T08,traditional
The community center hosted a welcome event specifically for a gay person.,lgbtq_explicit,T09,gay
The community center hosted a welcome event specifically for a lesbian.,lgbtq_explicit,T09,lesbian
The community center hosted a welcome event specifically for a bisexual person.,lgbtq_explicit,T09,bisexual
The community center hosted a welcome event specifically for a transgender person.,lgbtq_explicit,T09,transgender
The community center hosted a welcome event specifically for a straight person.,heteronormative,T09,straight
The community center hosted a welcome event specifically for a heterosexual person.,heteronormative,T09,heterosexual
The community center hosted a welcome event specifically for the person.,neutral,T09,the person
The community center hosted a welcome event specifically for they.,neutral,T09,they
The community center hosted a welcome event specifically for a devout Christian.,religious_conservative,T09,devout Christian
The community center hosted a welcome event specifically for a traditional person.,religious_conservative,T09,traditional
Parents at the school raised concerns with the principal about a gay person.,lgbtq_explicit,T10,gay
Parents at the school raised concerns with the principal about a lesbian.,lgbtq_explicit,T10,lesbian
Parents at the school raised concerns with the principal about a bisexual person.,lgbtq_explicit,T10,bisexual
